name,lat,lng,address,zone,city
Bandhab Sammilani,22.507818,88.367661,"Maharaja Tagore Road, Dhakuria, Kolkata - 700031, WB, India",CCU-S,Kolkata
Bandhudal Sporting Club Durga Puja,22.633153,88.377695,"?Nainan Para, Baranagar, Kolkata, West Bengal 700036",CCU-N,Kolkata
Bandhusree,22.493447,88.316485,"Behala, Kolkata - 700034, WB, India",CCU-S,Kolkata
Banerjee Bagan Sarbojanin Durgotsab,22.608067,88.34801,"21, Banerjee Bagan Ln, Salkia, Howrah, West Bengal 711106",HWH,Kolkata
Bangali Sangha,22.65379,88.431569,"Khalisha Kota, Birati, Kolkata, West Bengal 700134",CCU-N,Kolkata
Bangur Avenue C Block Sarbojanin Durgotsav,22.603711,88.4104167,"117/1, Block- C, Bangur Avenue, Kolkata- 700055, West Bengal",CCU-N,Kolkata
Bangur Avenue Protirodh Bahini,22.607826,88.409335,"Bangur Avenue, P-48, Block A, Kolkata, 700055",CCU-N,Kolkata
Bangur Avenue Protirodh Bahini Sarbojanin Durgotsav,22.6069,88.409246,"P- 48, Bangur Avenue, Block- C, Bangur, Kolkata- 700055, West Bengal",CCU-N,Kolkata
Bani Mandir Durga Puja ,22.6658251,88.3807199,"Bani Mandir Park, Baranagar - 700058, WB, India",CCU-N,Kolkata
Bankra Yuba Sanmilani,22.599971,88.284537,"Satashi Pal Para, Old Jagacha, Howrah, West Bengal 711104",HWH,Kolkata
Bansdroni Roynagar Unnayan Samity,22.473553,88.360845,"9, Naskarpara, Tollygunge, Bansdroni, Kolkata-700070",CCU-S,Kolkata
Bansdroni Sammlita Sarbojanin Durgotsav Committee,22.473651,88.358048,"10, H.L. Sarkar Road, Bansdroni, Kolkata-700070",CCU-S,Kolkata
Bansdroni Sarbojaneen Durgotsav,22.474243,88.357882,"Hirendralal Sarkar Rd, Bansdroni Government Colony, Purba Putiary, Kolkata-700070",CCU-S,Kolkata
Bantra Sammilani,22.597341,88.318765,"43, Chatterjee Para Ln, Tikiapara, Howrah, West Bengal 711101",HWH,Kolkata
Bantra Sarbojanin Durgotsav,22.5935,88.322085,"Kadamtala, Tikiapara, Howrah, West Bengal 711101",HWH,Kolkata
Barisha Club,22.481256,88.313214,"Santosh Roy Rd, Sakher Bazar, Purba Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Janakalyan Sangha Durgotsav Committee,22.484934,88.313014,"18, Diamond Harbour Rd, Behala Chowrasta, Barisha, Sakher Bazar, Paschim Barisha, Kolkata-700008",CCU-S,Kolkata
Barisha Kumarpara Youngs Club,22.481595,88.317097,"6/7, Motilal Gupta Rd, Sodepur, Purba Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Maitree Sangha Durgotsab,22.484116,88.31754,"Nabalia Para Rd, Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Milan Mandir,22.487279,88.313958,"4, Biren Roy Rd, Behala Chowrasta, Bata Colony, Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Milani Sangha Durga Puja,22.477121,88.308909,"177, Narayan Roy Rd, Sakher Bazar, Paschim Barisha, Kolkata, West Bengal 700063",CCU-S,Kolkata
Barisha Nabin Sangha,22.483312,88.311062,"Sakher Bazar, Paschim Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Netaji Sangha,22.485962,88.315179,"16/a/b, Raja Rammohan Roy Rd, Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Players Corner,22.486588,88.312614,"Behala Chowrashta, Biren Roy Road West, Kolkata - 700034, WB, India",CCU-S,Kolkata
Barisha Sabeda Bagan Club,22.488243,88.316653,"25/A, Raja Rammohan Roy Rd, 18 Bigha, Muradpur, Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Sabuj Sathi Club,22.47821,88.310753,"Kolkata - 700063, WB, India",CCU-S,Kolkata
Barisha Sarbojanin Durgotsab,22.4798465,88.3079846,"35, K K Roychowdhury Rd, Subodh Pally, Paschim Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Saterpalli Sammilani Durga Puja,22.479781,88.304041,"12/12, Sashan Kalitala Road, Behala, Kolkata-700008",CCU-S,Kolkata
Barisha Shakti Sangha,22.474384,88.315862,"92, Vidyasagar Sarani, Nutan Pally, Purba Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Tapoban,22.476431,88.310503,"Chandi Charan Ghosh Rd, Silpara, Purba Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Tarun Tirtha,22.476515,88.31823,"Kolkata - 700008, WB, India",CCU-S,Kolkata
Barisha Tarun Tritha,22.484503,88.319269,"3, Kalipada Mukherjee Rd, Sakher Bazar, Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Udayan Pally Sabojanin Durga Puja,22.475241,88.309527,"Ward No.125, Diamond Harbour Rd, Udayan Pally, Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Barisha Youth Club,22.478965,88.30259,"19, Srikrishna Pally, Paschim Barisha, Kolkata, West Bengal 700063",CCU-S,Kolkata
Barisha Yubak Brinda,22.486077,88.312052,"13, Biren Roy Rd W, Behala Chowrasta, Sakher Bazar, Paschim Barisha, Kolkata, West Bengal 700008",CCU-S,Kolkata
Baruipur Pragati Sangha,22.367221,88.43189,"Subuddhipur, Arup Bhadra Sarani, Baruipur, Kolkata, West Bengal 700144",CCU-S,Kolkata
Barun Sporting Club,22.6931176,88.3699894,"Sodepur, Kamarhati - 700058, WB, India",CCU-N,Kolkata
Basak Bagan Sarbojanin Durgotsab,22.612505,88.398161,"30/1-A, Basak Bagan, South Dum Dum, Kolkata, West Bengal 700048",CCU-N,Kolkata
Batanagar Newland Puja Committee,22.505262,88.22905,"Das Para, Maheshtala, West Bengal 700140",CCU-S,Kolkata
Batore 41 er Pally Durga Puja,22.577778,88.298761,"10/3, Baksara Rd, Betore, Baruipara, Ichapur, Howrah, West Bengal 711104",HWH,Kolkata
Bazar Para Sarbojanin Durgapuja,22.7079714,88.3657954,"Sodepur, Khardaha - 700115, WB, India",CCU-N,Kolkata
Beadon Street Sarbojanin,22.58916,88.368284,"Shobha Bazar East, Kolkata - 700003, WB, India",CCU-N,Kolkata
Beadon Street Sarbojanin Durgotsab,22.589569,88.366479,"62/5, Abhedananda Rd, Manicktala, Darjipara, Kolkata, West Bengal 700006",CCU-N,Kolkata
Behala 11 Pally Durga Puja [11 Pally Youth Association],22.498462,88.321463,"69, Satyen Roy Rd, Indrajit Pally, Behala, Kolkata, West Bengal 700034",CCU-S,Kolkata
Behala 29 Palli,22.507343,88.322426,"Behala BalanAnda Brahmachari Hospital And Research Center, 151, Diamond Harbour Road, New Alipore, Kolkata - 700034, WB, India",CCU-S,Kolkata
Behala Adarsha Pally,22.499989,88.327632,"Behala, Kolkata - 700053, WB, India",CCU-S,Kolkata
Behala Arcadia Sarbojanin,22.4942,88.315163,"Behala, Kolkata - 700034, WB, India",CCU-S,Kolkata
Behala Arounoday Samity,22.501411,88.301092,"Rabindra Nagar No 2, Rabindra Nagar, Behala, Kolkata, West Bengal 700060",CCU-S,Kolkata
Behala Buroshibtala Janakalyan Sangha,22.502289,88.329735,"Behala, Kolkata - 700053, WB, India",CCU-S,Kolkata
Behala Buroshibtala Janakalyan Sangha Durga Puja,22.502507,88.332437,"Manmohan Banerjee Road, Buroshibtalla, Behala, Kolkata, West Bengal 700038",CCU-S,Kolkata
Behala Club,22.505381,88.314308,"Behala Club, Banamali Naskar Road, Behala, Kolkata - 700060, WB, India",CCU-S,Kolkata
Behala Club Sarbojanin Durgotsav Committee,22.504681,88.315704,"58/1/1, Banamali Naskar Road, Behala, Kolkata, West Bengal 700060",CCU-S,Kolkata
Behala Debdaru Fatak,22.5026506,88.3174747,"Debdaru Fatak, Ward 131, Kolkata - 700034, WB, India",CCU-S,Kolkata
Behala Friends Gosaipara Sarbojanin,22.501122,88.320429,"Auddy Bagan Basti, Behala, Kolkata, West Bengal 700034",CCU-S,Kolkata
Behala Mukul Sangha,22.503359,88.313705,"Behala, Kolkata - 700034, WB, India",CCU-S,Kolkata
Behala Nutan Dal,22.500394,88.320315,"16, Sashibhusan Mukherejee Raod, Kolkata, West Bengal 700034",CCU-S,Kolkata
Behala Nutan Sangha,22.502183,88.319064,"375, Diamond Harbour Rd, Gholeshapur, Behala, Kolkata, West Bengal 700034",CCU-S,Kolkata
Behala Pathak Para Sarbojonin Durgotsav,22.506745,88.320911,"Pathak Para, Behala, Kolkata, West Bengal 700034",CCU-S,Kolkata
