name,lat,lng,address,zone,uid,_geo/lat,_geo/lng,searchScore,popularityScore,lat_scaled,lng_scaled,cluster
Salt Lake BH Block,22.594241,88.42402,"BH Park, Sector II, Bidhannagar - 700135, WB, India",CCU-E,Un83kBG,22.594241,88.42402,0,,0.486225998,1.630332404,2
Sreeramnagar Appartment,22.627056,88.434231,"Rajarhat Gopalpur, Bidhannagar - 700052, WB, India",CCU-E,g4kh4vB,22.627056,88.434231,0,,0.970748771,1.913255287,2
Beliaghata 33 Pally Adhibasibrindo Sarbojanin Durgotsav,22.5687627,88.3914276,"94, Hem Chandra Naskar Road, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata- 700010, West Bengal",CCU-E,5aki5NR,22.5687627,88.3914276,0,,0.11003168,0.727273369,4
Samarpally AB Block Sarbojanin Durgotsav,22.5926688,88.4319563,"Samarpally, Krishnapur, Kestopur, Kolkata- 700102, West Bengal",CCU-E,apZ5yko,22.5926688,88.4319563,0,,0.46301202,1.85022868,2
Kamal Park Sarbojanin Durgotsav,22.6036127,88.4262103,"BC- 88, Gauranganagar, Kestopur, Kolkata- 700101, West Bengal",CCU-E,BWTrNTy,22.6036127,88.4262103,0,,0.624601804,1.691020484,2
Mahishgote Sarbojanin Durgotsav,22.5827143,88.44269,"Krishnapur, Kestopur, Kolkata- 700059, West Bengal",CCU-E,e2ipTBC,22.5827143,88.44269,0,,0.316031007,2.147634357,2
Sunrise Point Durga Puja,22.6226549,88.4682377,"Street No. 653, AA- IIC, Newtown, New Town, Kolkata- 700156, West Bengal",CCU-E,Og1KZp6,22.6226549,88.4682377,0,,0.905765282,2.855501261,2
Dashadrone Sarbojanin Durgotsav,22.6313979,88.4464932,"Dashadrone Manicktala, Khelar Math, PO- Rajarhat, Kolkata- 700136, West Bengal",CCU-E,4vHd3hO,22.6313979,88.4464932,0,,1.034858155,2.253012117,2
Beliaghata 33 No Palli,22.566563,88.393852,"Narkeldanga, Kolkata - 700010, WB, India",CCU-E,xhVD6Pq,22.566563,88.393852,0,,0.077552486,0.794447813,2
Karunamayee G Block,22.583117,88.423172,"Sector II, Bidhannagar - 700091, WB, India",CCU-E,uPupMJH,22.583117,88.423172,0,,0.321976986,1.606836311,2
Sangrami,22.590536,88.395699,"Maniktala, Kolkata - 700067, WB, India",CCU-E,iF30wCI,22.590536,88.395699,0,,0.431520623,0.845623855,2
Beleghata Sandhani,22.5648434,88.3961574,"Kolkata - 700010, WB, India",CCU-E,1AciqJt,22.5648434,88.3961574,0,,0.052162105,0.858325045,2
Salt Lake DL block,22.582136,88.425822,"DL Park, Bidhannagar - 700135, WB, India",CCU-E,2O7fWE2,22.582136,88.425822,0,,0.307492243,1.680261601,2
Salt Lake AD Block,22.596856,88.406446,"262, 1st Avenue, Sector I, Bidhannagar - 700064, WB, India",CCU-E,kz3eBFM,22.596856,88.406446,0,,0.524837214,1.143398043,2
AK Block,22.5891537,88.4313014,"Sector II, Bidhannagar - 700102, WB, India",CCU-E,hBskY6i,22.5891537,88.4313014,0,,0.411110572,1.832082936,2
AE Block,22.6008801,88.4119096,"Sector I, Bidhannagar - 700064, WB, India",CCU-E,6tlFXDB,22.6008801,88.4119096,0,,0.584254191,1.294781596,2
AJ Block,22.5921092,88.4288779,"Sector II, Bidhannagar - 700101, WB, India",CCU-E,hI7Fd22,22.5921092,88.4288779,0,,0.454749367,1.76493343,2
AA Block,22.5917995,88.39736,"AA Block, Bidhannagar - 700067, WB, India",CCU-E,MAy1sH4,22.5917995,88.39736,0,,0.450176559,0.891646273,2
AB Block,22.593313,88.3997852,"241, 1st Cross Road, Sector I, Bidhannagar - 700067, WB, India",CCU-E,IZBecN5,22.593313,88.3997852,0,,0.472523815,0.958842882,2
AC Block,22.5948385,88.4034229,"130, 1st Avenue, Sector I, Bidhannagar - 700064, WB, India",CCU-E,eK0gCLt,22.5948385,88.4034229,0,,0.495048255,1.059635025,2
AG Block,22.5995094,88.4240305,"Sector II, Bidhannagar - 700101, WB, India",CCU-E,i2mrWwf,22.5995094,88.4240305,0,,0.564015417,1.630623334,2
AH Block,22.5965541,88.4264543,"Sector II, Bidhannagar - 700101, WB, India",CCU-E,YBsi7Rr,22.5965541,88.4264543,0,,0.520379575,1.697781153,2
AL Block,22.5861982,88.4337248,"175, Bidhannagar - 700135, WB, India",CCU-E,gN7rXpE,22.5861982,88.4337248,0,,0.367471777,1.899229672,2
BA Block,22.5888325,88.3985726,"BA Block, Bidhannagar - 700054, WB, India",CCU-E,3CEOu1z,22.5888325,88.3985726,0,,0.406367963,0.925244577,2
BC Block,22.5929856,88.4043323,"225, 1st Avenue, Sector I, Bidhannagar - 700064, WB, India",CCU-E,SbxJ9AC,22.5929856,88.4043323,0,,0.467689661,1.084832368,2
BD Block,22.5948864,88.4082726,"Sector I, Bidhannagar - 700064, WB, India",CCU-E,CpV5hcn,22.5948864,88.4082726,0,,0.495755512,1.194008849,2
BE Block,22.5979131,88.4131218,"393, Sector I, Kolkata - 700064, WB, India",CCU-E,Ja2pNv1,22.5979131,88.4131218,0,,0.540445595,1.328368818,2
BG Block,22.5953985,88.4225156,"Sector II, Bidhannagar - 700101, WB, India",CCU-E,EfaOUbS,22.5953985,88.4225156,0,,0.503316814,1.588649005,2
BK Block,22.5876407,88.4288779,"Sector II, Bidhannagar - 700102, WB, India",CCU-E,WPXxp3f,22.5876407,88.4288779,0,,0.388770699,1.76493343,2
BL Block,22.5846852,88.4313014,"Sector V, Bidhannagar - 700102, WB, India",CCU-E,wU2VBUB,22.5846852,88.4313014,0,,0.345131904,1.832082936,2
CB Block,22.5888806,88.4034229,"CB Block Park, Bidhannagar - 700048, WB, India",CCU-E,XvBTNZJ,22.5888806,88.4034229,0,,0.407078173,1.059635025,2
CD Block,22.5919194,88.409485,"265, Bidhannagar - 700048, WB, India",CCU-E,CBIgH9z,22.5919194,88.409485,0,,0.451946916,1.227601612,2
CE Block,22.5949341,88.4131218,"Jhupri Market, BE-56, BE Block, Kolkata - 700064, WB, India",CCU-E,RaWoiKe,22.5949341,88.4131218,0,,0.496459816,1.328368818,2
JC Block,22.5696125,88.4131218,"JC-27A, National Institute of Homoeopathy Staff Quarters, Bidhannagar - 700098, WB, India",CCU-E,ccqlO3l,22.5696125,88.4131218,0,,0.122579218,1.328368818,2
IB Block,22.572234,88.4146371,"Sector III, Bidhannagar - 700106, WB, India",CCU-E,px0h3iH,22.572234,88.4146371,0,,0.161286408,1.37035423,2
IA Block,22.5725677,88.4106973,"Sector III, Bidhannagar - 700097, WB, India",CCU-E,niDt0qH,22.5725677,88.4106973,0,,0.166213583,1.261191604,2
HB Block,22.5741049,88.4155462,"Sector III, Bidhannagar - 700106, WB, India",CCU-E,6VB6hez,22.5741049,88.4155462,0,,0.188910776,1.395543261,2
HA Block,22.5755587,88.4119096,"Sector III, Bidhannagar - 700097, WB, India",CCU-E,4PwrbUu,22.5755587,88.4119096,0,,0.210376545,1.294781596,2
GD Block,22.5770958,88.4167583,"268, 1st Cross Road, Sector III, Bidhannagar - 700106, WB, India",CCU-E,IQ14nkU,22.5770958,88.4167583,0,,0.233072262,1.429127712,2
GC Block,22.5785377,88.4119096,"111, 1st Cross Road, Sector III, Bidhannagar - 700097, WB, India",CCU-E,46N3bhm,22.5785377,88.4119096,0,,0.254362324,1.294781596,2
FE Block,22.5815762,88.4179705,"158, Bidhannagar - 700135, WB, India",CCU-E,APHjkGy,22.5815762,88.4179705,0,,0.299226638,1.462714934,2
FC Block,22.5800034,88.409485,"Administrative Training Institute, 1st A Cross Road, Sector III, Bidhannagar - 700097, WB, India",CCU-E,OXQeAf8,22.5800034,88.409485,0,,0.2760038,1.227601612,2
EE Block,22.5801459,88.4240305,"Sector V, Bidhannagar - 700091, WB, India",CCU-E,ngk0OmO,22.5801459,88.4240305,0,,0.278107853,1.630623334,2
EC Market,22.5852613,88.4092955,"EC Market, Bidhannagar - 700097, WB, India",CCU-E,cIe6EWO,22.5852613,88.4092955,0,,0.353638183,1.222351011,2
DB Block,22.5862889,88.4049385,"Sector I, Bidhannagar - 700064, WB, India",CCU-E,NqJ4Sk1,22.5862889,88.4049385,0,,0.368810989,1.10162875,2
DA Block,22.5847695,88.4019072,"Bond Forever Jewelry Pvt. Ltd, DA 18, Salt Lake City, Bidhannagar - 700048, WB, India",CCU-E,YGsHzAu,22.5847695,88.4019072,0,,0.346376617,1.01763853,2
CG Block,22.5920383,88.4216066,"Sector II, Bidhannagar - 700101, WB, India",CCU-E,NVE0iZT,22.5920383,88.4216066,0,,0.453702509,1.563462745,2
